customer_id,first_name,last_name,gender,age,dob,email,phone,city,state,country,postal_code,loyalty_tier,total_spend,is_active,marketing_opt_in,created_ts,last_login_ts,record_load_date,source_system
CUST02211,Vikram,Sharma,M,68.0,,,12345,Auckland,,,1010,SILVER,,N,Y,2024-05-10 00:00:00,invalid_ts,2025-07-31,CRM
CUST03863,Priya,Das,O,31.0,2025-03-01,,,Christchurch,South,AU,1010,PLATINUM,,N,N,2025-10-30 00:00:00,2024-08-01 00:00:00,2025-02-09,POS
CUST04555,Amit,Brown,M,-3.0,2024-10-07,user2mail.com,,Christchurch,,AU,,GOLD,26994.58,N,N,invalid_ts,,2024-10-14,ECOM
CUST04254,Amit,Iyer,M,-3.0,invalid_date,user3mail.com,,,South,AU,ABCDE,,,Y,,invalid_ts,invalid_ts,2024-07-23,ECOM
CUST01841,Vikram,Mehta,F,65.0,2025-03-10,user4mail.com,12345,Wellington,,NZ,ABCDE,,33290.16,N,Y,2025-07-07 00:00:00,,invalid_date,
CUST02784,Sara,Brown,M,-3.0,invalid_date,user5@mail.com,9860004562,Auckland,South,,ABCDE,,27833.6,N,,2024-04-21 00:00:00,2024-04-18 00:00:00,,POS
CUST00482,Sara,Wilson,M,62.0,2024-02-11,user6@mail.com,9601144891,Auckland,South,NZ,6021,GOLD,,N,N,2024-11-24 00:00:00,2024-09-05 00:00:00,,
CUST00969,Sara,Iyer,M,42.0,2025-06-16,user7@mail.com,12345,Wellington,,AU,6021,GOLD,,,Y,,invalid_ts,invalid_date,ECOM
CUST04842,Rahul,Patel,,42.0,,user8mail.com,,Christchurch,South,NZ,6021,GOLD,,Y,Y,invalid_ts,invalid_ts,invalid_date,CRM
CUST01451,,,M,,invalid_date,,,Wellington,North,AU,,PLATINUM,,,,2025-10-10 00:00:00,,2024-06-09,CRM
CUST04208,Sara,Brown,O,38.0,2025-03-25,user10@mail.com,9200662736,,,NZ,,,,N,N,invalid_ts,,invalid_date,
CUST06456,Riya,Kumar,,44.0,2024-07-12,user11@mail.com,,Christchurch,South,NZ,ABCDE,SILVER,,N,N,invalid_ts,,invalid_date,
CUST01832,Anna,Iyer,O,-3.0,invalid_date,user12mail.com,,Auckland,South,,,,43657.34,,N,invalid_ts,,,ECOM
CUST02729,Sara,Singh,F,-3.0,,user13@mail.com,,,South,,,GOLD,,Y,,invalid_ts,invalid_ts,invalid_date,CRM
CUST04861,Anna,Iyer,,-3.0,2024-01-01,user14mail.com,9413388955,Wellington,,AU,ABCDE,GOLD,35361.45,N,N,invalid_ts,,,
CUST01632,John,Taylor,,,,user15mail.com,,Christchurch,North,AU,1010,,,,Y,invalid_ts,invalid_ts,2025-03-16,CRM
CUST04752,Neha,Taylor,M,27.0,2025-05-25,user16mail.com,,Auckland,South,NZ,1010,PLATINUM,,Y,Y,invalid_ts,,invalid_date,
CUST01507,David,Das,O,,invalid_date,user17@mail.com,9862436615,Wellington,,NZ,ABCDE,GOLD,38055.27,,,2025-10-03 00:00:00,invalid_ts,invalid_date,
CUST05321,John,Taylor,M,-3.0,2024-11-04,user18mail.com,,Christchurch,North,NZ,ABCDE,PLATINUM,25963.82,N,N,invalid_ts,invalid_ts,invalid_date,
CUST02285,Priya,,F,,invalid_date,,12345,,,AU,,SILVER,33877.61,Y,,invalid_ts,invalid_ts,invalid_date,ECOM
CUST01207,Anna,Taylor,F,,2025-03-01,,12345,Christchurch,South,,,GOLD,,,,2025-07-03 00:00:00,2024-02-28 00:00:00,invalid_date,POS
CUST01886,Rahul,,F,67.0,,,,,,AU,1010,,,Y,Y,2025-05-26 00:00:00,2024-08-27 00:00:00,,ECOM
CUST04313,,Sharma,M,-3.0,,user22@mail.com,9145324446,Christchurch,North,,ABCDE,PLATINUM,48421.78,,Y,invalid_ts,2024-03-05 00:00:00,,POS
CUST03303,Neha,Iyer,O,,invalid_date,,12345,Auckland,South,,6021,SILVER,,Y,Y,invalid_ts,2024-08-04 00:00:00,2025-07-11,
CUST01866,John,Taylor,,-3.0,,user24@mail.com,,Wellington,,NZ,1010,SILVER,,N,N,,,invalid_date,CRM
CUST06795,Anna,,O,43.0,2024-01-07,user25mail.com,,Christchurch,North,,6021,SILVER,,N,N,invalid_ts,2024-12-31 00:00:00,,
CUST04158,John,Sharma,O,56.0,2024-04-14,user26@mail.com,12345,Christchurch,North,NZ,,,,,,2025-05-08 00:00:00,invalid_ts,,CRM
CUST03722,Priya,Kumar,F,-3.0,2025-11-26,user27mail.com,,Christchurch,,NZ,6021,GOLD,,,N,invalid_ts,,2024-06-18,POS
